Turn,odd,even indexed from zero
0,Bullet Bill,Buzzy Beetle
1,Goomba,Keese
2,Octorok,Octorok
3,Zol,Zol
4,Tektite,Tektite
5,Zol,Zol
6,Blooper,Blooper
7,Goomba,Blooper
8,Koopa Troopa,Buzzy Beetle
9,Zol,Zol
10,Koopa Troopa,Koopa Troopa
11,Blooper,Blooper
12,Goomba,Octorok
13,Tektite,Buzzy Beetle
14,Blooper,Blooper
15,Keese,Keese
16,Keese,Keese
17,Koopa Troopa,Koopa Troopa
18,Goomba,Buzzy Beetle
19,Zol,Zol
20,Tektite,Tektite
21,Goomba,Keese
22,Bullet Bill,Bullet Bill
23,Octorok,Octorok
24,Koopa Troopa,Koopa Troopa
25,Keese,Keese
26,Bullet Bill,Bullet Bill
27,Tektite,Tektite
28,Zol,Zol
29,Koopa Troopa,Koopa Troopa
30,Keese,Keese
31,Octorok,Octorok
32,Blooper,Blooper
33,Keese,Keese
34,Goomba,Zol
35,Bullet Bill,Bullet Bill
36,Zol,Zol
37,Koopa Troopa,Koopa Troopa
38,Zol,Zol
39,Tektite,Tektite
40,Goomba,Keese
41,Blooper,Blooper|Keese
42,Keese,Keese
43,Bullet Bill,Bullet Bill
44,Blooper,Blooper
45,Octorok,Buzzy Beetle
46,Bullet Bill,Bullet Bill
47,Koopa Troopa,Koopa Troopa
48,Bullet Bill,Bullet Bill
49,Koopa Troopa,Koopa Troopa
50,Zol,Zol
51,Octorok,Octorok
52,Goomba,Koopa Troopa
53,Goomba,Tektite
54,Keese,Keese
55,Goomba,Buzzy Beetle
56,Keese,Keese
57,Keese,Keese
58,Koopa Troopa,Koopa Troopa
59,Keese,Keese
60,Goomba,Keese
61,Octorok,Octorok
62,Goomba,Bullet Bill
63,Zol,Zol
64,Goomba,Tektite
65,Bullet Bill,Buzzy Beetle
66,Keese,Keese
67,Bullet Bill,Buzzy Beetle
68,Koopa Troopa,Koopa Troopa
69,Tektite,Tektite
70,Goomba,Buzzy Beetle
71,Tektite,Tektite
72,Goomba,Octorok
73,Octorok,Octorok
74,Zol,Zol
76,Blooper,Blooper
77,Bullet Bill,Bullet Bill
78,Blooper,Blooper
79,Koopa Troopa,Buzzy Beetle
80,Goomba,Bullet Bill
81,Bullet Bill,Bullet Bill
82,Keese,Keese
83,Goomba,Bullet Bill
84,Bullet Bill,Bullet Bill
85,Tektite,Tektite
86,Goomba,Octorok
87,Goomba,Bullet Bill
88,Koopa Troopa,Koopa Troopa
89,Blooper,Blooper
90,Koopa Troopa,Koopa Troopa
91,Tektite,Tektite
