Pirate map, indexed from zero:
0: [-1, -99]
1: [-1, -99]
2: [-1, -99]
3: [-1, -99]
4: [-1, -99]
5: [-1, -99]
6: [-1, -99]
7: [-1, -99]
8: [-1, -99]
9: [-1, -99]
10: [-1, -99]
11: [-1, -99]
12: [-1, -99]
13: [-1, -99]
14: [0, 0] needs verification
21: [0, -10]
29: [0, -28]
31: [0, -10]
34: [0, -28]
38: [-11, -28]
39: [-29, -99]
40: [-29, -99]
41: [0, -28]
42: [-11, -99]
43: [-29, -99]
45: [0, -28]
46: [-11, -10]
47: [-11, -99]
48: [-11, -99]
49: [-11, -99]
50: [-29, -99]
51: [-29, -28]
52: [-29, -99]
53: [-29, -99]
54: [0, -28]
55: [-29, -99]
57: [0, -28]
59: [-11, -99]
60: [-11, -99]
71: [-11, -25]
72: [-29, -99]
73: [0, -10]
74: [0, -28]
75: [0, -28]
76: [-11, -99]
81: [-29, -99]
82: [-29, -99]
83: [-29, -99]
84: [-29, -99]
85: [-11, -99]
86: [-16, -28]
87: [0, -15]
88: [-11, -99]
94: [-11, -99]
96: [-11, -99]
98: [-16, -99]
99: [-16, -99]
100: [0, -10]
102: [-16, -99]
103: [-16, -99]
104: [-16, -99]
105: [0, -15]
422: [-16, -99]
423: [-16, -99]
425: [-16, -99]
426: [0, -15]
505: [-1, -99]
506: [-1, -99]
507: [-1, -99]
508: [-1, -99]
509: [-1, -99]
510: [-1, -99]
511: [-1, -99]
512: [-1, -99]
513: [-1, -99]
514: [-1, -99]
515: [0, 0] needs verification
523: [-16, -99]
524: [-16, -99]
528: [-16, -99]
529: [-16, -99]
530: [0, -15]
539: [-16, -99]
540: [-16, -99]
541: [0, -15]
546: [0, -15]
822: [0, 0] needs verification
838: [-16, -99]
839: [-16, -99]
857: [0, -15]
