Turn,odd,even zero-indexed
86,?,Beaver
87,?,Axe Wound
88,?,Flange
89,?,Muff
90,?,Flange
91,?,Honey Pot
92,?,Box
93,?,Muff
94,?,Little Man in the Canoe
95,?,Box
96,?,Honey Pot
97,?,Camel's Toe
98,?,Flange
99,?,Axe Wound
100,?,Astronomer
101,?,Bush
102,?,Bush
103,?,Camel's Toe
104,?,Astronomer
105,?,Beaver
106,?,Flange
107,?,Little Man in the Canoe
108,?,Honey Pot
109,?,Little Man in the Canoe
110,?,Box
111,?,Bush
112,?,Camel's Toe
113,?,Astronomer
114,?,Honey Pot
115,?,Astronomer
116,?,Flange
117,?,Axe Wound
118,?,Box
119,?,Little Man in the Canoe
120,?,Camel's Toe
121,?,Axe Wound
122,?,Axe Wound
123,?,Astronomer
124,?,Camel's Toe
125,?,Astronomer
126,?,Flange
127,?,Astronomer
128,?,Muff
129,?,Astronomer
130,?,Bush
131,?,Astronomer
132,?,Box
133,?,Beaver
134,?,Bush
135,?,Astronomer
136,?,Flange
137,?,Muff
138,?,Bush
139,?,Flange
140,?,Astronomer
141,?,Honey Pot
142,?,Astronomer
143,?,Astronomer
144,?,Honey Pot
145,?,Bush
146,?,Box
147,?,Little Man in the Canoe
148,?,Honey Pot
149,?,Beaver
150,?,Box
151,?,Axe Wound
152,?,Little Man in the Canoe
154,?,Bush
155,?,Axe Wound
156,?,Axe Wound
157,?,Flange
158,?,Box
159,?,Flange
160,?,Box
161,?,Camel's Toe
162,?,Honey Pot
163,?,Astronomer
164,?,Muff
165,?,Beaver
166,?,Beaver
167,?,Astronomer
168,Skinflute,Camel's Toe
169,Astronomer,Astronomer
170,Pork Sword,Flange
171,One-Eyed Willie,Beaver
172,Burrowing Bishop,Muff
173,Twig and Berries,Axe Wound
174,Pork Sword,Flange
175,One-Eyed Willie,Bush
176,One-Eyed Willie|Skinflute,Honey Pot
177,Family Jewels,Muff
178,One-Eyed Willie,Flange
179,One-Eyed Willie,Astronomer
180,Hooded Warrior,Camel's Toe
181,Hooded Warrior,Bush
182,One-Eyed Willie,Bush
183,Hooded Warrior,Astronomer
184,Skinflute,Beaver
185,Twig and Berries,Camel's Toe
186,Skinflute,Beaver
187,Family Jewels,Flange
188,Astronomer,Astronomer
189,Trouser Snake,Flange
190,Trouser Snake,Honey Pot
191,Twig and Berries,Camel's Toe
192,Astronomer,Astronomer
193,Trouser Snake,Bush
194,Pork Sword,Astronomer
195,Pork Sword,Muff
196,Twig and Berries,Honey Pot
197,Junk,Box
198,Astronomer,Astronomer
199,One-Eyed Willie,Box
200,Junk,Astronomer
201,Family Jewels,Camel's Toe
202,Junk,Axe Wound
203,Trouser Snake,Bush
204,Burrowing Bishop,Axe Wound
205,Astronomer,Astronomer
206,Pork Sword,Camel's Toe
207,Trouser Snake,Beaver
208,Family Jewels,Axe Wound
209,Junk,Little Man in the Canoe
210,Pork Sword,Flange
211,Trouser Snake,Muff
212,Astronomer,Astronomer
213,Twig and Berries,Axe Wound
214,Hooded Warrior,Axe Wound
215,Twig and Berries,Axe Wound
216,Pork Sword,Honey Pot
217,Burrowing Bishop,Little Man in the Canoe
218,Pork Sword,Bush
219,Trouser Snake,Axe Wound
220,Family Jewels,Box
221,Pork Sword,Little Man in the Canoe
222,Astronomer,Little Man in the Canoe
223,Burrowing Bishop,Axe Wound
224,Astronomer,Astronomer
225,Hooded Warrior,Flange
226,Family Jewels,Bush
227,Skinflute,Bush
228,Skinflute,Beaver
229,Twig and Berries,Muff
230,Junk,Box
231,Astronomer,Astronomer
232,Skinflute,Box
233,Twig and Berries,Astronomer
234,Twig and Berries,Flange
235,Astronomer,Muff
236,Junk,Camel's Toe
237,Pork Sword,Little Man in the Canoe
238,One-Eyed Willie,Flange
239,Pork Sword,Little Man in the Canoe
240,Skinflute,Honey Pot
241,Skinflute,Camel's Toe
242,Trouser Snake,Little Man in the Canoe
243,Astronomer,Astronomer
