Init ranges, indexed from 0:
5: [0.0, 477.0]
6: [477.0, 850.0]
7: [0.0, 477.0]
8: [0.0, 477.0]
9: [477.0, 850.0]
10: [477.0, 850.0]
11: [479.0, 850.0]
12: [0.0, 479.0]
13: [355.0, 850.0]
14: [0.0, 477.0]
17: [477.0, 850.0]
18: [0.0, 477.0]
19: [0.0, 477.0]
21: [0.0, 477.0]
23: [477.0, 850.0]
25: [0.0, 377.0]
27: [0.0, 379.0]
28: [479.0, 850.0]
29: [0.0, 487.0]
37: [387.0, 850.0]
58: [632.0, 850.0]
59: [0.0, 850.0]
60: [0.0, 542.0]
61: [0.0, 542.0]
63: [0.0, 747.0]
64: [0.0, 542.0]
66: [0.0, 542.0]
67: [0.0, 747.0]
68: [0.0, 55.0]
69: [55.0, 850.0]
71: [0.0, 240.0]
72: [45.0, 850.0]
73: [0.0, 45.0]
74: [0.0, 747.0]
77: [0.0, 647.0]
78: [0.0, 747.0]
79: [0.0, 647.0]
80: [45.0, 850.0]
81: [45.0, 387.0]
82: [0.0, 567.0]
83: [567.0, 850.0]
84: [567.0, 850.0]
87: [0.0, 529.0]
89: [0.0, 405.0]
90: [0.0, 717.0]
91: [0.0, 652.0]
92: [652.0, 850.0]
93: [0.0, 652.0]
95: [0.0, 652.0]
97: [45.0, 850.0]
98: [45.0, 850.0]
99: [0.0, 850.0]
102: [45.0, 777.0]
103: [777.0, 850.0]
104: [45.0, 777.0]
105: [0.0, 45.0]
106: [45.0, 657.0]
108: [657.0, 850.0]
110: [442.0, 507.0]
111: [0.0, 749.0]
112: [45.0, 442.0]
113: [537.0, 607.0]
115: [474.0, 850.0]
116: [142.0, 474.0]
117: [45.0, 850.0]
119: [45.0, 330.0]
120: [165.0, 652.0]
121: [0.0, 652.0]
123: [45.0, 652.0]
124: [165.0, 652.0]
125: [417.0, 850.0]
126: [417.0, 850.0]
127: [55.0, 419.0]
128: [0.0, 45.0]
129: [45.0, 850.0]
130: [167.0, 850.0]
132: [167.0, 850.0]
133: [167.0, 850.0]
134: [0.0, 45.0]
137: [167.0, 850.0]
140: [45.0, 850.0]
143: [55.0, 850.0]
144: [169.0, 850.0]
145: [169.0, 850.0]
146: [169.0, 850.0]
148: [0.0, 45.0]
149: [45.0, 850.0]
153: [45.0, 717.0]
154: [45.0, 850.0]
156: [0.0, 717.0]
157: [45.0, 850.0]
158: [0.0, 850.0]
160: [45.0, 717.0]
161: [0.0, 344.0]
162: [0.0, 637.0]
163: [0.0, 639.0]
165: [45.0, 587.0]
166: [45.0, 850.0]
167: [0.0, 637.0]
169: [80.0, 850.0]
170: [45.0, 850.0]
171: [45.0, 850.0]
172: [45.0, 850.0]
173: [0.0, 45.0]
179: [0.0, 597.0]
180: [0.0, 597.0]
181: [0.0, 762.0]
182: [0.0, 762.0]
183: [0.0, 762.0]
184: [0.0, 597.0]
185: [0.0, 597.0]
192: [0.0, 537.0]
193: [0.0, 537.0]
194: [0.0, 537.0]
195: [537.0, 850.0]
197: [0.0, 539.0]
202: [0.0, 507.0]
203: [0.0, 507.0]
205: [0.0, 507.0]
207: [0.0, 527.0]
208: [0.0, 597.0]
210: [0.0, 597.0]
211: [0.0, 597.0]
213: [0.0, 712.0]
214: [0.0, 712.0]
215: [712.0, 850.0]
217: [0.0, 522.0]
218: [522.0, 850.0]
219: [0.0, 522.0]
226: [0.0, 612.0]
227: [0.0, 614.0]
236: [80.0, 850.0]
245: [447.0, 850.0]
310: [0.0, 682.0]
312: [682.0, 850.0]
313: [0.0, 682.0]
314: [682.0, 850.0]
315: [0.0, 684.0]
316: [0.0, 500.0]
337: [627.0, 850.0]
338: [0.0, 627.0]
339: [0.0, 627.0]
340: [0.0, 627.0]
341: [0.0, 629.0]
351: [522.0, 850.0]
352: [0.0, 522.0]
353: [0.0, 519.0]
354: [310.0, 519.0]
364: [0.0, 532.0]
366: [532.0, 850.0]
367: [0.0, 532.0]
368: [532.0, 850.0]
369: [534.0, 850.0]
370: [410.0, 850.0]
373: [0.0, 850.0]
374: [662.0, 850.0]
375: [0.0, 662.0]
376: [0.0, 662.0]
378: [0.0, 664.0]
380: [167.0, 850.0]
381: [167.0, 850.0]
382: [167.0, 850.0]
383: [167.0, 850.0]
384: [0.0, 167.0]
386: [0.0, 169.0]
387: [0.0, 103.0]
404: [0.0, 850.0]
405: [592.0, 850.0]
406: [0.0, 592.0]
407: [0.0, 592.0]
411: [0.0, 594.0]
422: [195.0, 850.0]
423: [195.0, 850.0]
425: [195.0, 850.0]
427: [197.0, 850.0]
429: [197.0, 850.0]
431: [197.0, 850.0]
432: [0.0, 197.0]
540: [165.0, 850.0]
544: [165.0, 850.0]
546: [0.0, 165.0]
547: [165.0, 850.0]
549: [167.0, 850.0]
550: [167.0, 850.0]
551: [330.0, 850.0]
552: [167.0, 850.0]
553: [167.0, 850.0]
554: [169.0, 850.0]
556: [169.0, 850.0]
557: [169.0, 850.0]
558: [169.0, 850.0]
561: [167.0, 850.0]
562: [167.0, 850.0]
564: [169.0, 850.0]
565: [185.0, 850.0]
566: [185.0, 850.0]
567: [0.0, 113.0]
571: [167.0, 850.0]
573: [169.0, 850.0]
575: [169.0, 850.0]
576: [169.0, 850.0]
585: [195.0, 850.0]
588: [187.0, 850.0]
589: [0.0, 187.0]
590: [187.0, 850.0]
591: [0.0, 187.0]
607: [142.0, 850.0]
608: [0.0, 142.0]
609: [142.0, 850.0]
610: [142.0, 850.0]
611: [144.0, 850.0]
612: [144.0, 850.0]
613: [144.0, 850.0]
614: [144.0, 850.0]
615: [144.0, 850.0]
616: [146.0, 850.0]
621: [83.0, 850.0]
628: [432.0, 850.0]
646: [0.0, 23.0]
687: [0.0, 850.0]
763: [0.0, 330.0]
806: [0.0, 201.0]
807: [203.0, 850.0]
809: [203.0, 850.0]
851: [203.0, 850.0]
852: [203.0, 850.0]
853: [203.0, 850.0]
854: [203.0, 850.0]
855: [0.0, 203.0]
857: [0.0, 23.0]
