Ranges, indexed from 0:
68: [12.5, 99.0]
69: [14.0, 99.0]
72: [15.5, 99.0]
73: [0.0, 12.5]
74: [0.0, 14.0]
77: [0.0, 15.5]
83: [12.5, 99.0]
84: [12.5, 99.0]
86: [14.0, 99.0]
87: [0.0, 12.0]
89: [15.5, 99.0]
90: [17.0, 99.0]
91: [18.5, 99.0]
93: [20.0, 99.0]
95: [0.0, 12.0]
97: [23.0, 99.0]
98: [24.5, 99.0]
99: [15.5, 26.0]
102: [17.0, 99.0]
103: [18.5, 99.0]
104: [20.0, 99.0]
105: [14.0, 99.0]
106: [20.0, 99.0]
107: [21.5, 99.0]
108: [21.5, 99.0]
110: [23.0, 99.0]
111: [24.5, 99.0]
112: [23.0, 99.0]
113: [24.5, 99.0]
115: [26.0, 99.0]
116: [26.0, 99.0]
117: [21.5, 99.0]
119: [23.0, 99.0]
120: [29.0, 99.0]
121: [24.5, 99.0]
122: [17.0, 99.0]
123: [17.0, 23.0]
124: [15.0, 99.0]
125: [32.0, 99.0]
126: [24.0, 99.0]
127: [33.5, 99.0]
128: [12.0, 14.0]
129: [21.5, 99.0]
130: [16.5, 99.0]
131: [18.0, 99.0]
132: [21.5, 99.0]
133: [23.0, 99.0]
134: [0.0, 13.5]
137: [34.5, 99.0]
140: [36.0, 99.0]
141: [37.5, 99.0]
142: [21.0, 39.0]
143: [22.5, 99.0]
144: [24.0, 99.0]
145: [25.5, 99.0]
146: [25.5, 99.0]
147: [29.0, 99.0]
148: [0.0, 20.5]
149: [23.5, 99.0]
150: [25.0, 99.0]
151: [25.0, 99.0]
152: [14.0, 99.0]
153: [28.0, 99.0]
154: [29.5, 99.0]
155: [0.0, 31.0]
156: [15.5, 99.0]
157: [17.0, 99.0]
158: [18.5, 99.0]
159: [20.0, 99.0]
160: [21.5, 99.0]
161: [23.0, 99.0]
162: [24.5, 99.0]
163: [0.0, 26.0]
165: [15.0, 99.0]
166: [16.5, 99.0]
167: [18.0, 99.0]
168: [19.5, 99.0]
170: [21.0, 99.0]
171: [22.5, 99.0]
172: [24.0, 99.0]
173: [0.0, 16.0]
174: [18.0, 99.0]
175: [19.5, 99.0]
177: [0.0, 17.5]
178: [24.0, 99.0]
179: [25.5, 99.0]
180: [24.5, 99.0]
181: [20.5, 28.5]
184: [0.0, 22.0]
187: [11.0, 99.0]
188: [12.5, 99.0]
189: [9.5, 99.0]
190: [14.0, 99.0]
192: [15.5, 99.0]
193: [17.0, 99.0]
194: [18.5, 99.0]
195: [20.5, 99.0]
196: [18.5, 99.0]
198: [20.0, 99.0]
199: [22.0, 99.0]
200: [0.0, 15.5]
201: [24.5, 99.0]
202: [26.0, 99.0]
203: [0.0, 20.0]
212: [11.5, 99.0]
213: [13.0, 99.0]
214: [14.5, 99.0]
215: [16.0, 99.0]
216: [28.5, 99.0]
217: [19.0, 30.0]
218: [31.5, 99.0]
219: [33.5, 99.0]
221: [35.0, 99.0]
223: [36.5, 99.0]
224: [23.5, 99.0]
226: [0.0, 25.0]
227: [0.0, 14.0]
229: [28.0, 99.0]
230: [15.5, 99.0]
231: [29.5, 99.0]
232: [17.0, 99.0]
233: [31.0, 99.0]
234: [0.0, 18.5]
274: [0.0, 27.5]
358: [11.5, 99.0]
359: [13.0, 99.0]
360: [14.5, 99.0]
361: [16.0, 99.0]
362: [17.5, 99.0]
363: [19.0, 99.0]
364: [22.0, 99.0]
365: [23.5, 99.0]
366: [25.0, 99.0]
368: [28.0, 99.0]
369: [29.5, 99.0]
370: [31.0, 99.0]
371: [32.5, 99.0]
372: [34.0, 99.0]
