
Number of equipment pieces needed for You, M.D.. Indexed from 0.
155: [2, 5]
159: [2, 5]
161: [2, 5]
162: [3, 5]
166: [5, 5]
170: [4, 5]
173: [1, 3]
174: [2, 5]
177: [1, 1]
180: [2, 5]
182: [2, 5]
183: [2, 5]
184: [2, 2]
187: [2, 5]
189: [2, 5]
193: [3, 5]
194: [4, 5]
195: [4, 5]
197: [2, 5]
200: [1, 2]
219: [2, 5]
227: [2, 3]
231: [2, 5]
239: [2, 5]
240: [2, 5]
241: [1, 1]
242: [1, 2]
243: [2, 5]
244: [2, 5]
245: [2, 5]
246: [2, 5]
247: [2, 5]
255: [2, 5]
256: [1, 1]
258: [2, 5]
260: [2, 5]
262: [2, 5]
264: [2, 5]
265: [3, 5]
267: [2, 5]
269: [1, 1]
272: [2, 5]
273: [3, 5]
274: [2, 5]
275: [2, 3]
276: [3, 5]
277: [1, 2]
278: [2, 5]
279: [3, 5]
284: [4, 5]
287: [1, 1]
288: [4, 5]
289: [1, 4]
294: [2, 5]
295: [3, 5]
305: [2, 5]
306: [1, 2]
310: [4, 5]
315: [1, 4]
360: [2, 5]
361: [2, 5]
362: [3, 5]
363: [3, 5]
364: [3, 5]
365: [3, 5]
366: [3, 5]
367: [3, 5]
368: [4, 5]
369: [3, 5]
370: [3, 5]
371: [4, 5]
372: [5, 5]
373: [3, 5]
374: [3, 5]
375: [5, 5]
376: [3, 5]
377: [3, 5]
378: [1, 2]
379: [3, 5]
380: [3, 5]
381: [3, 5]
382: [3, 5]
383: [3, 5]
384: [1, 2]
386: [2, 5]
387: [2, 5]
388: [2, 5]
389: [3, 5]
390: [1, 1]
433: [2, 5]
434: [1, 2]
566: [2, 5]
580: [2, 5]
584: [3, 5]
587: [1, 3]
633: [2, 5]
644: [2, 5]
701: [2, 5]
704: [1, 2]
754: [2, 5]
755: [3, 5]
782: [2, 5]
793: [3, 5]
795: [3, 5]
797: [3, 5]
798: [3, 5]
808: [3, 5]
811: [4, 5]
813: [5, 5]
814: [6, 5]
815: [6, 5]
869: [1, 3]
884: [2, 5]
890: [1, 2]
891: [2, 5]
892: [1, 2]
909: [2, 5]
912: [2, 5]
913: [3, 5]
915: [1, 3]
931: [2, 5]
1148: [6, 5]
